term,cluster
laboral,3
temprana,1
compromiso,4
permitira,3
esa,0
enfrentar,2
sea,0
otros,3
centros,1
oportunidades,5
ambiental,2
acceso,1
nivel,2
creacion,2
servicios,1
linea,3
escolar,1
transporte,1
genero,3
derecho,5
fin,3
fraternidad,4
necesita,4
posible,0
cualquier,0
cuidar,4
tal,4
establecer,3
conjunto,3
trabajadores,5
empleos,3
interes,4
requiere,4
aumento,3
fuerza,4
paises,3
delito,2
situacion,0
barrios,5
carabineros,1
internacional,2
poblacion,3
judicial,3
mismo,0
municipios,1
espacios,5
implementaremos,2
region,3
personal,3
hasta,3
local,2
formacion,1
escuelas,1
cuidado,5
red,1
crecimiento,4
medidas,3
chileno,4
sectores,5
c,2
tecnica,2
clave,2
beneficios,1
desafios,4
dar,4
aun,0
mundial,4
reducir,1
cual,3
estandares,1
autonomia,2
evitando,3
ciudadanas,3
digna,5
sustentable,2
invitacion,0
nueva,4
sentido,4
muy,0
largo,0
amplio,3
incluso,3
s,0
respeto,4
condiciones,5
familia,0
socioeconomico,3
claras,1
estabilidad,4
fomento,2
principales,3
mejores,3
responsabilidad,3
hay,0
mejoras,3
independiente,4
chilenas,5
promoveremos,3
paz,4
pensiones,2
acuerdo,4
problema,4
delitos,3
via,3
falta,0
frente,4
inteligencia,2
tienen,0
internacionales,1
graves,3
territorio,4
reforzaremos,2
tributarios,1
menores,5
ingresos,5
ningun,3
adicionalmente,3
alto,1
turismo,2
regionales,1
civil,2
realidad,0
nuevos,1
valor,0
pandemia,3
mineria,2
transicion,2
energetica,2
materia,4
junto,1
alta,1
padres,5
ninos,5
autonomo,2
cuna,1
digitales,1
aguas,3
eventos,3
unico,3
mundo,0
gobernar,0
convivencia,3
vivir,0
tranquilos,3
fortalecimiento,2
quieren,5
seleccion,3
vamos,0
salto,4
dejar,0
colaboracion,1
dignidad,4
toda,4
servir,0
busca,3
hacer,0
congreso,3
siempre,4
l,3
alcanzar,0
reglas,3
porque,0
exige,4
concretas,3
ambitos,3
nacionales,5
patrimonio,4
capacidades,1
demanda,3
institucionalidad,2
sistemas,1
orden,4
derechos,5
principal,4
niveles,5
evitar,3
ingreso,3
hecho,0
bandas,3
fundamental,4
agenda,4
haya,0
acciones,3
invertir,3
han,0
solucion,0
comunitarios,1
deportivas,1
ministerios,1
talleres,1
asistencia,1
n,3
salarios,3
dando,3
tanto,3
inversionistas,3
nuevas,1
daremos,3
responsables,3
impuestos,0
enfasis,2
verde,2
pymes,3
idea,3
privado,2
actual,4
promocion,3
culturales,1
bajo,3
global,4
incluye,3
electricos,1
llamado,4
tenemos,0
atencion,1
cobertura,1
ampliaremos,1
aumentaremos,1
u,3
plantea,3
brechas,3
ninas,5
propondremos,3
mejora,3
eficiencia,2
garantizar,3
meta,4
incluyendo,1
propuesta,3
defensoria,3
tengan,5
ciudades,1
infantil,3
futbol,3
presente,4
urgencias,3
seguridades,3
desigualdad,4
democratico,4
hace,0
nadie,0
somos,0
decada,0
atras,0
caminar,3
construir,0
espacio,4
escuchar,3
unir,3
muchos,0
capaces,3
politicos,3
sabemos,0
sido,0
unica,2
accion,4
gente,0
casa,0
dialogo,3
acuerdos,3
creemos,4
trata,0
capaz,3
grupos,3
tecnicos,1
entorno,3
permitan,3
crecer,0
impulso,1
estan,5
abordar,3
mantener,3
garantias,3
inclusion,2
hemos,0
hacen,0
temas,1
trabajar,0
democratica,4
dotar,3
cultura,4
funcionamiento,3
primeras,3
ano,3
creciente,3
vulnerabilidad,3
sanciones,1
ciudadano,4
leyes,3
unidades,1
labores,3
vigilancia,1
pasos,3
tres,4
estar,0
extranjeros,5
policias,1
aumentar,3
dotacion,1
coordinacion,1
recintos,1
hogares,5
teme,0
araucania,3
consejo,2
consumo,2
plataforma,1
equipos,1
fondo,2
diversas,3
anterior,0
combate,2
finalmente,3
hijos,5
costo,3
progreso,0
vulnerables,5
generacion,3
privada,4
estable,3
reforzar,3
ambientales,1
trazabilidad,1
institucion,3
mediana,2
competitividad,3
identidad,3
ambito,4
buen,3
regional,2
instituto,3
pueden,5
actores,3
incentivar,1
mejoramiento,3
minimo,3
fiscal,3
ampliacion,1
universal,2
seguro,0
campanas,3
alla,0
sustentabilidad,3
procesos,1
real,3
consolidar,3
humano,4
ruta,3
tierra,4
haremos,3
especial,2
avanzar,4
enfoque,2
foco,2
capacidad,2
integrales,1
privados,1
planes,1
funcion,2
establecimientos,1
incorporaremos,1
diseno,1
integracion,2
presupuesto,2
actividades,1
esas,3
urgente,4
habitacional,3
enfrenta,4
estructural,4
suelo,1
permitiria,3
estas,3
casos,1
lograr,4
modernizacion,2
evaluacion,1
ej,1
difusion,1
ciencia,2
transparente,4
tramites,1
base,3
energias,1
