term,cluster
programaticas,0
urgente,1
frenar,4
protegeremos,0
cercana,0
encender,0
principales,0
seguras,0
trato,0
administracion,0
global,1
chilena,1
diversos,0
roles,0
cerca,0
congreso,0
comercio,0
concretos,0
demanda,0
mayoria,1
chilenas,2
pueden,2
tenemos,1
talento,4
