term,cluster
competencias,2
requisitos,2
uno,3
crisis,5
imparcialidad,2
mecanismo,2
estrategico,4
modernizacion,4
menor,2
hacer,3
inflacion,5
objetivos,2
le,3
politicos,2
siendo,3
antes,3
principal,5
propios,0
pilares,5
unidad,4
etc,1
iniciativa,5
operadores,2
ciudadania,3
declaracion,2
reglas,2
estabilidad,5
respeto,5
tasa,2
capitales,2
generando,2
ministerios,1
meses,2
minera,2
exterior,5
cooperativas,0
flexible,2
ciencia,4
conocimiento,5
integrado,4
ciudades,1
basada,2
otra,3
nosotros,3
cuidado,0
siguiente,5
necesidad,3
principalmente,5
contexto,5
linea,2
organizaciones,0
hacienda,4
usd,0
fines,2
transferencias,2
garantizando,2
direccion,4
integrada,1
territorio,5
necesario,3
