term,cluster
legitimas,1
cercanas,1
democracia,3
cierto,5
incluye,1
civiles,1
organizarse,1
cuidar,5
desafios,3
priorizar,1
inteligencia,4
policial,2
desarticular,1
redes,2
crimen,3
organizado,3
entender,1
construye,1
debe,5
centrarse,1
columna,1
vertebral,1
directa,1
sanitarios,1
reemplazar,1
nadie,5
quede,1
atras,5
redistribucion,3
mejorar,2
estrategica,3
