term,cluster
eso,1
clave,5
gobernanza,5
nuevos,3
muchas,1
cooperacion,5
nuevas,3
frente,2
estandares,3
privadas,4
privada,2
centro,2
seguro,1
zona,0
ii,3
precios,0
agricolas,0
hay,1
quienes,1
nosotros,1
vision,2
gendarmeria,5
real,2
todo,1
gobiernos,0
evaluaciones,0
anual,2
funciones,0
estas,1
l,0
revision,0
existe,1
actual,2
falta,1
evitar,0
protocolos,3
eventos,0
requiere,2
rol,2
urgencia,5
prevencion,3
traves,0
oferta,3
delitos,0
capacitacion,3
municipios,3
instrumentos,0
restauracion,0
fue,0
regiones,3
tiempo,1
terrorismo,2
familias,4
medio,2
aplicacion,3
s,1
productivo,2
presupuestos,3
mismo,1
iniciativas,0
plataformas,3
baja,0
incluyendo,0
fondef,0
mecanismo,0
caso,2
sectoriales,0
via,0
beneficios,0
penal,3
transparencia,0
escala,2
interior,5
ejemplo,0
nueva,5
funcional,3
planes,3
contra,2
plataforma,5
resolucion,3
fonasa,0
necesita,1
municipal,5
licitacion,0
internos,0
tienen,1
fines,0
operacional,3
licitaciones,0
fiscales,0
organizaciones,4
entrenamiento,3
transferencia,0
logistica,0
ambientales,0
concesiones,5
obras,3
medianos,0
inia,0
esports,0
uno,1
siendo,1
nuevo,2
poder,2
potencial,2
soluciones,4
estatales,0
dl,0
indicadores,3
financiera,5
conjunto,2
modelos,0
evidencia,0
anterior,1
fiscalizacion,3
veces,1
total,0
banco,2
embajadores,0
enfoque,5
aumentar,2
fuerza,2
junto,3
competencias,0
tecnicas,3
sanitaria,3
cuenta,1
clinica,5
aps,3
continuidad,3
condiciones,4
ges,3
tributarios,3
inicial,3
aplicada,0
mejorar,4
vigilancia,3
plazos,0
devolucion,0
vez,1
area,0
estan,1
cumplimiento,3
ampliar,0
corfo,3
seguir,1
clp,0
efecto,0
obligatoria,3
proteger,4
unica,5
directamente,0
usuarios,0
estrategia,5
listas,3
equipamiento,3
implementar,5
ejes,4
fase,5
asistencia,3
permitir,0
reduccion,3
existentes,0
basica,3
certificacion,0
articulacion,0
transporte,3
operacionales,0
territorio,2
medidas,4
ninas,4
tecnologias,3
sector,2
riesgos,0
ventas,0
subsidio,0
dga,0
agricultores,0
compensacion,0
anid,0
les,1
otro,1
ese,1
expertos,0
criticos,0
otra,1
ciencia,5
corredores,0
establece,0
hacienda,5
sociales,4
activa,0
identificar,3
compras,3
siguientes,0
procedera,0
investigaciones,3
estudio,2
representa,2
productos,0
araucania,0
durante,1
generando,0
priorizar,0
interoperabilidad,3
organismos,0
economico,2
bases,5
sii,3
civil,2
ecosistema,2
postulacion,3
especializada,5
superior,4
procedimientos,0
sido,1
presenta,0
todas,4
puedan,4
interes,2
embargo,1
comun,2
hospitales,3
laboral,0
piloto,0
corresponda,0
actividades,0
sera,2
metas,3
posibilidad,1
facultades,3
antes,1
dias,2
integral,5
industria,5
reconocimiento,0
practicas,3
reducir,3
rotacion,0
ejercito,0
terrenos,3
hectareas,0
permisos,3
regimen,2
impuesto,0
humano,2
sequia,0
seia,0
parcelas,0
torneos,0
mundo,1
futuro,4
jovenes,4
quien,1
aun,1
presidencial,5
permitan,0
necesidades,4
defensa,2
inteligentes,3
mipymes,0
ambiente,2
modificar,0
relacion,1
eficiente,2
mejora,0
comite,0
plazo,2
linea,0
vuelve,2
queremos,1
tope,0
pesos,0
iniciativa,2
mensual,0
cargos,0
realizar,0
supremo,5
incentivo,2
tres,1
considerando,0
esten,0
vigentes,0
sobregasto,0
primeros,0
productividad,5
inversiones,0
promedio,1
decisiones,0
tiempos,3
data,0
criticas,0
carrera,0
extranjero,2
principal,2
permita,2
idea,2
fortalecimiento,5
funcion,5
dado,1
estandar,0
criterio,0
prioridad,2
orden,2
solicitudes,0
primaria,3
