term,cluster
tecnica,1
medio,4
eficaz,4
inteligente,1
descentralizada,3
siguientes,3
direccion,1
impuestos,5
capital,4
servicio,4
royalty,3
materia,4
fondo,1
sido,5
medicamento,3
emisiones,3
tales,3
deben,0
aplicara,3
urbana,3
tecnologias,2
pequenos,0
han,0
banco,4
enfrenta,5
paz,4
crimen,4
organizado,4
fuerzas,0
fuerza,4
frente,4
justicia,4
convivencia,3
policial,2
prevencion,2
vulnerables,0
establecera,3
donde,5
hoy,5
rurales,2
aysen,3
armadas,0
gradualmente,3
precio,3
transparente,4
profesionales,2
gasto,4
fonasa,3
mismo,5
cobertura,2
regiones,2
docente,2
nuevas,2
trabajadores,0
oceanica,3
siglo,4
xxi,4
fines,3
compensacion,3
afp,3
exige,4
proceso,4
tejido,4
superar,3
conviccion,5
camino,5
podra,5
ultimos,0
proposito,5
politico,4
permita,3
retomar,4
principales,0
activo,3
dentro,3
cinco,0
nuestras,0
hora,4
legitimidad,3
oficialismo,3
estancamiento,5
urgencia,3
todo,5
juridica,3
inver,3
plazo,3
hace,5
historica,3
significa,5
menos,5
apenas,5
litio,4
privada,4
proyecto,4
energia,2
impacto,1
clase,0
robusta,3
ese,5
desempleo,4
aumento,4
hemos,5
concentracion,4
financiera,2
respecto,3
gran,4
naturales,0
cuanto,3
antes,5
asociados,3
ingresos,0
problemas,0
grupos,3
crecer,5
foco,2
digital,1
nuestros,0
codelco,3
enap,3
detallaremos,3
financiar,3
politicas,0
ya,5
resiliencia,3
minero,3
hidrogeno,3
alrededor,3
transformar,5
privados,2
publicas,2
obligatoria,2
ley,3
soberania,4
responsable,4
capacidades,2
produccion,4
conclusion,3
otros,3
recaudacion,3
financiamiento,2
pymes,0
estara,4
dia,5
utilidades,3
afectara,3
renta,3
evitar,3
d,2
via,3
diferenciado,3
establecer,3
siendo,5
implementacion,1
basica,2
eliminar,3
contaminantes,3
estandares,2
intensivo,3
crearemos,1
esa,5
diseno,2
sis,3
prote,3
permitan,3
ciencia,2
mujeres,0
busca,3
redes,2
moderna,1
supone,3
reinsercion,2
snic,3
fronteras,3
policia,1
juvenil,3
legal,1
estrategico,1
individual,3
internacional,1
profesional,2
eficacia,3
riesgo,3
centros,2
dotacion,2
pobreza,0
valparaiso,3
barrio,3
antonio,3
biobio,3
arica,3
juan,3
coquimbo,3
lagos,3
policias,2
trabajar,5
investigacion,1
hasta,3
tema,3
construccion,2
cesfam,2
postas,2
ampliar,3
educa,3
gratuita,3
calidad,2
bicentenarios,2
carrera,3
eco,3
conservacion,3
cambio,5
climatico,4
humedales,3
potencia,3
institucionalidad,4
protegidas,3
moratoria,3
oceano,3
ambiente,4
costeros,3
individuales,3
adquiridos,3
mayores,0
hayan,3
posible,5
introduccion,4
atraviesa,3
nes,3
profundas,3
dialogo,3
extremos,3
primera,4
mo,3
tecnico,3
refleja,5
futuro,5
desafios,4
articular,3
actue,3
motor,4
sostenibilidad,4
polarizacion,5
nivel,3
tiempo,5
torno,3
actor,4
junto,2
comunidades,0
locales,2
fundamentales,0
coherencia,3
viejos,3
impulsar,4
oportunidades,0
atraer,3
estabilidad,4
largo,5
diagnostico,2
comparacion,3
crecio,3
decada,5
global,5
oportunidad,5
contrario,3
incertidumbre,3
terminar,3
anteriormente,3
realidad,5
ingreso,3
per,3
pib,4
mejoras,3
media,3
perdida,3
diez,5
formal,4
chileno,4
cual,3
directa,3
debil,3
economias,3
exportaciones,3
exportacion,3
procesamiento,3
retorno,3
democracia,4
fuerte,4
afps,3
casas,3
desigualdad,4
baterias,3
vulnerable,3
fiscales,3
puesto,3
poder,4
credito,2
urgente,5
combine,4
laborales,3
estableceremos,2
promueva,3
especial,2
economicos,0
directos,2
indirectos,3
libre,4
