term,cluster
permita,2
estan,4
decisiones,2
carceles,2
nuevos,5
fronteras,1
educativo,1
sociales,4
proyectos,5
muy,3
mientras,4
vez,3
comun,0
lugar,0
burocracia,2
conviccion,3
ver,3
narcotrafico,1
radical,0
volvera,0
cambios,2
metas,5
creemos,0
destino,2
familia,0
siempre,0
integral,1
tecnico,2
politico,1
proyecto,0
base,1
contra,1
comunidad,0
necesarios,2
paz,0
espacios,4
materia,0
mercado,1
trabajaremos,2
personal,2
herramientas,4
enfoque,1
hasta,2
economia,0
viviendas,4
bajo,2
funcionarios,5
familiar,2
establecimientos,5
largo,3
todas,4
actual,1
recuperacion,5
informacion,5
eliminaremos,2
desarrollaremos,2
escuelas,5
estudiantes,4
nivel,2
modelo,2
bases,2
hace,3
sobre,2
avance,2
delito,1
inseguridad,0
distintos,2
hora,0
tenemos,3
motor,1
bien,3
importante,0
ideologia,3
do,2
remos,2
rincon,0
impulsar,1
mundo,3
justo,0
despues,2
ejes,2
permanente,2
privada,1
terrorismo,1
dejar,3
junto,5
mi,3
sabemos,3
juntos,3
chileno,0
valor,2
especialmente,4
anterior,3
poder,1
empresas,4
podremos,3
grandes,4
responsable,1
devolver,0
proteger,0
delitos,2
victimas,5
inmigrantes,2
ilegales,2
total,2
ilegal,1
procesos,2
soluciones,4
clase,4
existen,2
ambiente,1
subsidios,4
eficiencia,5
terminar,2
privados,5
niveles,4
elegir,4
eje,1
centros,5
requiere,0
tanto,2
finalmente,2
toma,2
inteligencia,5
fiscalizacion,5
aumentar,2
especial,5
tecnologica,5
innovacion,5
eficiente,1
regulaciones,2
tiempos,5
carga,2
primaria,5
autonomia,5
siglo,0
produccion,1
criminales,2
dias,2
costo,2
cientos,4
nunca,3
tres,0
le,3
mejora,2
nadie,3
estancamiento,0
pacto,0
ciudadania,0
campana,0
compromete,0
cuentas,2
adelante,4
nacion,0
necesita,0
alcanzar,0
crecer,3
antes,3
cargo,0
publicas,5
iniciativa,0
genera,3
digno,0
pueden,4
posibilidad,0
unidad,1
res,2
facil,3
persona,3
eso,3
venimos,2
ido,0
construccion,5
ciudadana,5
primera,0
fuente,2
visto,3
aquellas,4
pymes,4
campamentos,2
humano,1
conflicto,3
izquierda,2
buenos,2
avanzar,0
tranquilidad,0
nes,2
basico,2
trata,3
cimientos,2
somos,3
resultado,2
podemos,3
legales,2
homicidios,2
transformacion,0
numero,2
superior,5
redes,5
debemos,3
respaldo,2
institucional,5
juridico,2
inmigracion,1
ministerio,1
combatir,2
pleno,2
promedio,3
ingreso,2
resto,1
continua,5
ano,2
reales,4
unidades,5
real,2
privado,1
responsabilidad,2
clases,2
transporte,5
pago,2
zonas,5
actividades,2
bienestar,0
ultimo,2
vuelva,0
promocion,2
hogares,4
pilar,5
haremos,2
abusos,2
universidades,5
zona,2
evitar,2
regiones,5
educativos,2
territorio,1
costos,2
frontera,2
penitenciaria,2
territorial,1
habra,2
cual,2
integracion,5
coordinacion,5
persecucion,2
penal,5
potenciaremos,2
funcionamiento,1
reforzaremos,5
comercio,2
municipios,5
eficaz,2
crearemos,5
fortaleciendo,1
prevencion,5
cobertura,5
fisica,5
capacitacion,5
reduciremos,5
acciones,2
plazo,2
prioridad,1
inversiones,2
institucionalidad,1
tramites,2
permisos,5
impuesto,2
rol,1
fortalecer,5
oferta,5
equidad,1
garantizar,2
sala,2
aprendizaje,2
compatriotas,2
miento,2
debilitamiento,2
tasas,2
desafios,0
crece,0
perdido,3
ductividad,2
desempleo,2
viven,4
cinco,4
regulatoria,2
estar,3
muchas,4
cias,2
iniciativas,2
proximos,2
partir,2
salir,3
momento,3
nuevo,1
generaciones,4
llevamos,2
misma,0
llena,2
estamos,3
gobiernos,2
convertirse,2
profesionales,5
dos,2
energias,2
oportunidad,0
claro,0
pilares,0
restaurar,2
enfrentan,4
multiples,2
urgencias,2
gobernar,3
equipos,5
algunos,2
nada,3
puerta,2
verdadero,3
tenga,0
pueda,2
barreras,2
emprendimiento,2
atras,3
necesario,3
adversidad,2
norte,2
cero,2
tierra,0
hogar,0
caracter,0
cambiar,3
supera,2
levanta,2
grandeza,2
algunas,2
ellos,2
paralelo,2
cuatro,2
terreno,3
nuevamente,2
civil,1
implementar,5
centro,2
casi,2
millon,2
cuidado,4
emprendimientos,2
alcanza,3
co,2
demas,4
